nome_municipio,cod_regiao_imediata,geocodigo,mesorregiao,codigo_ibge,tipo_unidade_territorial,regiao,long,sigla_uf,regiao_intermediaria,nome_municipio_txt_pt,georef_location,regiao_imediata,id,cod_regiao_intermediaria,nome_municipio_sem_acento,lat,codigo_ibge_uf,uf_municipio,microrregiao,nome_uf
Godofredo Viana,210011,2104305,OESTE MARANHENSE,210430,municipio,Nordeste,-45.78,MA,Região Intermediária de Santa Inês - Bacabal,Godofredo Viana,"-1.4030000\,-45.7800000",Região Imediata de Governador Nunes Freire,2104305,2102,Godofredo Viana,-1.403,21,MA-Godofredo Viana,GURUPI,Maranhão
Fernão,350013,3515657,MARILIA,351565,municipio,Sudeste,-49.521,SP,Região Intermediária de Marília,Fernão,"-22.3590000\,-49.5210000",Região Imediata de Marília,3515657,3504,Fernão,-22.359,35,SP-Fernão,MARILIA,São Paulo
Tocantinópolis,170008,1721208,OCIDENTAL DO TOCANTINS,172120,municipio,Norte,-47.416,TO,Região Intermediária de Araguaína,Tocantinópolis,"-6.3290000\,-47.4160000",Região Imediata de Tocantinópolis,1721208,1702,Tocantinópolis,-6.329,17,TO-Tocantinópolis,BICO DO PAPAGAIO,Tocantins
Lafaiete Coutinho,290012,2918704,CENTRO SUL BAIANO,291870,municipio,Nordeste,-40.213,BA,Região Intermediária de Vitória da Conquista,Lafaiete Coutinho,"-13.6560000\,-40.2130000",Região Imediata de Jequié,2918704,2904,Lafaiete Coutinho,-13.656,29,BA-Lafaiete Coutinho,JEQUIE,Bahia
Camaçari,290001,2905701,METROPOLITANA DE SALVADOR,290570,municipio,Nordeste,-38.324,BA,Região Intermediária de Salvador,Camaçari,"-12.6980000\,-38.3240000",Região Imediata de Salvador,2905701,2901,Camaçari,-12.698,29,BA-Camaçari,SALVADOR,Bahia
Mato Rico,410005,4115739,CENTRO-SUL PARANAENSE,411573,municipio,Sul,-52.146,PR,Região Intermediária de Guarapuava,Mato Rico,"-24.7050000\,-52.1460000",Região Imediata de Pitanga,4115739,4102,Mato Rico,-24.705,41,PR-Mato Rico,PITANGA,Paraná
Macapá,160001,1600303,SUL DO AMAPA,160030,municipio,Norte,-51.066,AP,Região Intermediária de Macapá,Macapá,"0.0390000\,-51.0660000",Região Imediata de Macapá,1600303,1601,Macapá,0.039,16,AP-Macapá,MACAPA,Amapá
Emas,250009,2505907,SERTAO PARAIBANO,250590,municipio,Nordeste,-37.716,PB,Região Intermediária de Patos,Emas,"-7.1080000\,-37.7160000",Região Imediata de Patos,2505907,2503,Emas,-7.108,25,PB-Emas,PIANCO,Paraíba
Materlândia,310021,3140605,VALE DO RIO DOCE,314060,municipio,Sudeste,-43.06,MG,Região Intermediária de Governador Valadares,Materlândia,"-18.4740000\,-43.0600000",Região Imediata de Guanhães,3140605,3104,Materlândia,-18.474,31,MG-Materlândia,GUANHAES,Minas Gerais
Buritirana,210019,2102358,OESTE MARANHENSE,210235,municipio,Nordeste,-47.018,MA,Região Intermediária de Imperatriz,Buritirana,"-5.5930000\,-47.0180000",Região Imediata de Imperatriz,2102358,2105,Buritirana,-5.593,21,MA-Buritirana,IMPERATRIZ,Maranhão
